Primera parte,África,Africa,"Continente, país, región, ciudad, pueblo",2,7.1881,21.09375,Q15
Primera parte,Albraca,Albarca,"Continente, país, región, ciudad, pueblo",1,0.91285,41.300869,Q8193294
Primera parte,Alcalá,Alcalá de Henares,"Continente, país, región, ciudad, pueblo",1,-3.364305,40.481815,Q46940
Primera parte,Alcaná de Toledo,Alcaná de Toledo,"Monumento, edificio, calle",1,-4.0239,39.8581,X
Primera parte,Alcarria,La Alcarria,"Continente, país, región, ciudad, pueblo",1,-2.87305556,40.30666667,Q2386849
Primera parte,Alcobendas,Alcobendas,"Continente, país, región, ciudad, pueblo",1,-3.6333333333333,40.533333333333,Q487679
Primera parte,Alemania,Germany,"Continente, país, región, ciudad, pueblo",1,10,51,Q183
Primera parte,Algarbe,Algarve,"Continente, país, región, ciudad, pueblo",1,-7.9352777777778,37.014444444444,Q26831
Primera parte,Almodóvar del Campo,Almodóvar del Campo,"Continente, país, región, ciudad, pueblo",2,-4.1666666666667,38.718611111111,Q1631896
Primera parte,América,Americas,"Continente, país, región, ciudad, pueblo",1,-96,19,Q828
Primera parte,Andalucía,Andalusia,"Continente, país, región, ciudad, pueblo",8,-5.9875,37.405,Q5783
Primera parte,Antequera,Antequera,"Continente, país, región, ciudad, pueblo",3,-4.5596649,37.0183652,Q572041
Primera parte,Apenino,Apennine Mountains,Accidente geográfico,1,12.581944,43.281667,Q1285
Primera parte,Arabia,Arabian Peninsula,"Continente, país, región, ciudad, pueblo",3,46,23,Q31945
Primera parte,Aragón,Aragon,"Continente, país, región, ciudad, pueblo",3,-1,41,Q4040
Primera parte,Arcadia,Arcadia,Entidad fantástica,1,22.2,37.6,Q168786
Primera parte,Arévalo,Arévalo,"Continente, país, región, ciudad, pueblo",1,-4.7166666666667,41.066666666667,Q476793
Primera parte,Argel,Algiers,"Continente, país, región, ciudad, pueblo",15,3.0586111111111,36.776388888889,Q3561
Primera parte,Armenia,Armenia,"Continente, país, región, ciudad, pueblo",1,44.95,40.383333,Q399
Primera parte,Asia,Asia,"Continente, país, región, ciudad, pueblo",1,87.3311111111111,43.6811111111111,Q48
Primera parte,Azoguejo de Segovia,Azoguejo de Segovia,"Monumento, edificio, calle",1,-4.11813,40.947847,Q16620289
Primera parte,Baeza,Baeza,"Continente, país, región, ciudad, pueblo",2,-3.4666666666667,37.983333333333,Q488555
Primera parte,Basilea,Basel,"Continente, país, región, ciudad, pueblo",1,7.5905555555556,47.560555555556,Q78
